Category: All categories,
Month,Microsoft stock: (Worldwide)
Jan-04,48
Feb-04,42
Mar-04,43
Apr-04,39
May-04,39
Jun-04,29
Jul-04,42
Aug-04,34
Sep-04,36
Oct-04,36
Nov-04,49
Dec-04,38
Jan-05,38
Feb-05,39
Mar-05,41
Apr-05,39
May-05,38
Jun-05,26
Jul-05,29
Aug-05,33
Sep-05,33
Oct-05,43
Nov-05,53
Dec-05,43
Jan-06,48
Feb-06,36
Mar-06,41
Apr-06,38
May-06,46
Jun-06,35
Jul-06,27
Aug-06,34
Sep-06,33
Oct-06,33
Nov-06,39
Dec-06,33
Jan-07,39
Feb-07,38
Mar-07,31
Apr-07,32
May-07,32
Jun-07,27
Jul-07,27
Aug-07,27
Sep-07,34
Oct-07,42
Nov-07,37
Dec-07,26
Jan-08,37
Feb-08,44
Mar-08,34
Apr-08,31
May-08,31
Jun-08,19
Jul-08,22
Aug-08,19
Sep-08,38
Oct-08,63
Nov-08,41
Dec-08,28
Jan-09,33
Feb-09,37
Mar-09,37
Apr-09,32
May-09,25
Jun-09,26
Jul-09,25
Aug-09,22
Sep-09,25
Oct-09,34
Nov-09,25
Dec-09,24
Jan-10,26
Feb-10,25
Mar-10,23
Apr-10,28
May-10,25
Jun-10,21
Jul-10,19
Aug-10,20
Sep-10,22
Oct-10,26
Nov-10,26
Dec-10,22
Jan-11,25
Feb-11,25
Mar-11,24
Apr-11,24
May-11,23
Jun-11,17
Jul-11,19
Aug-11,25
Sep-11,20
Oct-11,24
Nov-11,18
Dec-11,16
Jan-12,21
Feb-12,25
Mar-12,24
Apr-12,24
May-12,24
Jun-12,25
Jul-12,18
Aug-12,21
Sep-12,23
Oct-12,31
Nov-12,32
Dec-12,25
Jan-13,30
Feb-13,31
Mar-13,25
Apr-13,30
May-13,47
Jun-13,43
Jul-13,31
Aug-13,31
Sep-13,41
Oct-13,37
Nov-13,46
Dec-13,36
Jan-14,33
Feb-14,36
Mar-14,31
Apr-14,34
May-14,27
Jun-14,23
Jul-14,27
Aug-14,23
Sep-14,33
Oct-14,35
Nov-14,35
Dec-14,30
Jan-15,36
Feb-15,39
Mar-15,33
Apr-15,39
May-15,33
Jun-15,25
Jul-15,33
Aug-15,37
Sep-15,32
Oct-15,47
Nov-15,36
Dec-15,33
Jan-16,37
Feb-16,38
Mar-16,33
Apr-16,35
May-16,29
Jun-16,40
Jul-16,34
Aug-16,26
Sep-16,32
Oct-16,39
Nov-16,40
Dec-16,37
Jan-17,39
Feb-17,41
Mar-17,43
Apr-17,42
May-17,49
Jun-17,50
Jul-17,53
Aug-17,45
Sep-17,44
Oct-17,61
Nov-17,61
Dec-17,59
Jan-18,78
Feb-18,89
Mar-18,73
Apr-18,75
May-18,61
Jun-18,72
Jul-18,75
Aug-18,80
Sep-18,76
Oct-18,100
Nov-18,83
