Category: All categories,
Day,microsoft stock: (United States)
2018-09-24,42
2018-09-25,44
2018-09-26,50
2018-09-27,48
2018-09-28,40
2018-09-29,19
2018-09-30,13
2018-10-01,43
2018-10-02,52
2018-10-03,51
2018-10-04,44
2018-10-05,50
2018-10-06,14
2018-10-07,14
2018-10-08,32
2018-10-09,43
2018-10-10,57
2018-10-11,79
2018-10-12,71
2018-10-13,20
2018-10-14,8
2018-10-15,52
2018-10-16,66
2018-10-17,53
2018-10-18,44
2018-10-19,49
2018-10-20,13
2018-10-21,13
2018-10-22,45
2018-10-23,50
2018-10-24,100
2018-10-25,99
2018-10-26,80
2018-10-27,27
2018-10-28,22
2018-10-29,56
2018-10-30,67
2018-10-31,57
2018-11-01,51
2018-11-02,51
2018-11-03,22
2018-11-04,11
2018-11-05,43
2018-11-06,44
2018-11-07,40
2018-11-08,54
2018-11-09,43
2018-11-10,14
2018-11-11,13
2018-11-12,25
2018-11-13,51
2018-11-14,44
2018-11-15,34
2018-11-16,46
2018-11-17,12
2018-11-18,7
2018-11-19,36
2018-11-20,49
2018-11-21,40
2018-11-22,21
